source,source_row_id,canonical_deal_id,disposition,note
register,2026Q3-042,DEAL-PRTH-PRIOREGRP-2026,mapped,
register,2026Q3-043,DEAL-CARBONIUM-TOMZ-2026,mapped,
register,2026Q3-044,PROP-KOBAYASHI-CVCNSSK-2026,mapped,
register,2026Q3-045,DEAL-TECH-MERCKKGAA-2026,mapped,
register,2026Q3-046,DEAL-TBPH-ZYME-2026,mapped,
register,2026Q3-047,DEAL-WBD-PSKY-2026,mapped,
register,2026Q3-048,DEAL-ITRK-EQT-2026,mapped,
register,2026Q3-049,DEAL-BWMN-BCP-2026,mapped,
register,2026Q3-050,DEAL-SSTK-GETY-2025,mapped,
register,2026Q3-051,DEAL-DEPOP-EBAY-2026,mapped,
register,2026Q3-052,DEAL-MOMENTUM-WMB-2026,mapped,
register,2026Q3-053,DEAL-ACCULYNX-VRSK-2025,mapped,
register,2026Q3-054,DEAL-AMSURG-ASCENSION-2026,mapped,
register,2026Q3-055,DEAL-FMC-ADENA-2026,mapped,
register,2026Q3-056,DEAL-SDR-NUVEEN-2026,mapped,
register,2026Q3-057,DEAL-NATL-BCO-2026,mapped,
register,2026Q3-058,DEAL-ULVRFOODS-MKC-2026,mapped,
register,2026Q3-059,DEAL-TKE-KONE-2026,mapped,
register,2026Q3-060,DEAL-OVO-EON-2026,mapped,
register,2026Q3-061,DEAL-ITVME-SKY-2026,mapped,
register,2026Q3-062,PROP-INA-WARBURG-2026,mapped,
register,2026Q3-063,PROP-IEL-BX-2026,mapped,
register,2026Q3-064,DEAL-RGR-BERETTA-2026,mapped,
staging_chatgpt,MNA-20260708-GETTY-SSTK,DEAL-SSTK-GETY-2025,mapped,
staging_chatgpt,MNA-20260708-EON-OVO-ITC,DEAL-OVO-EON-2026,mapped,
staging_chatgpt,MNA-20260714-ABF-HOVIS,,unlinked_regulator_only,ABF / Hovis
staging_chatgpt,MNA-20260715-EBAY-DEPOP-CLEAR,DEAL-DEPOP-EBAY-2026,mapped,
staging_chatgpt,MNA-20260715-DANONE-HUEL-LAUNCH,,unlinked_regulator_only,Danone / Huel
staging_chatgpt,MNA-20260721-MCCORMICK-UNILEVER-ITC,DEAL-ULVRFOODS-MKC-2026,mapped,
staging_chatgpt,MNA-20260723-SKY-ITV,DEAL-ITVME-SKY-2026,mapped,
staging_chatgpt,MNA-20260730-EBAY-DEPOP-CLOSE,DEAL-DEPOP-EBAY-2026,mapped,
staging_chatgpt,MNA-20260731-IONQ-SKYWATER,DEAL-SKYT-IONQ-2026,mapped,
staging_chatgpt,MNA-20260803-WILLIAMS-MOMENTUM,DEAL-MOMENTUM-WMB-2026,mapped,
staging_chatgpt,MNA-20260806-APOLLO-EASYJET,DEAL-EZJ-APOLLO-2026,mapped,
staging_chatgpt,MNA-20260806-PARAMOUNT-WBD-CLEAR,DEAL-WBD-PSKY-2026,mapped,
staging_chatgpt,MNA-20260808-VERISK-ACCULYNX,DEAL-ACCULYNX-VRSK-2025,superseded,ruling date 2026-08-08 is the report date; register records the 2026-08-07 order
staging_chatgpt,MNA-20260813-SERAS-ENVA-CLEAR,,unlinked_regulator_only,Seras Energy / Enva waste wood business
staging_chatgpt,MNA-20260814-HENKEL-LIQUIDNAILS,DEAL-LIQUIDNAILS-HENKEL-2025,mapped,
staging_chatgpt,MNA-20260817-PARAMOUNT-WBD-CMA-CLOSE,DEAL-WBD-PSKY-2026,mapped,
staging_chatgpt,MNA-20260820-DANONE-HUEL-CLEAR,,unlinked_regulator_only,Danone / Huel
staging_chatgpt,MNA-20260825-ASCENSION-AMSURG,DEAL-AMSURG-ASCENSION-2026,mapped,
staging_chatgpt,MNA-20260826-BRINKS-NCR,DEAL-NATL-BCO-2026,mapped,
staging_chatgpt,MNA-20260901-ADENA-FMC,DEAL-FMC-ADENA-2026,mapped,
staging_chatgpt,MNA-20260902-EON-OVO-LAUNCH,DEAL-OVO-EON-2026,mapped,
staging_chatgpt,MNA-20260903-SERAS-ENVA-CLOSE,,unlinked_regulator_only,Seras Energy / Enva waste wood business
staging_chatgpt,MNA-20260915-OCS-MITIE,,unlinked_regulator_only,OCS / Mitie
staging_chatgpt,MNA-20260916-MCCORMICK-UNILEVER-LAUNCH,DEAL-ULVRFOODS-MKC-2026,mapped,
staging_chatgpt,MNA-20260916-BERETTA-RUGER,DEAL-RGR-BERETTA-2026,mapped,
staging_chatgpt,MNA-20260917-ABP-DOVECOTE,,unlinked_regulator_only,ABP / Dovecote Park minority acquisition
staging_chatgpt,MNA-20260921-PRIORITY-TAKEPRIVATE,DEAL-PRTH-PRIOREGRP-2026,mapped,
staging_chatgpt,MNA-20260921-PARAMOUNT-WBD-STATES,DEAL-WBD-PSKY-2026,mapped,
staging_chatgpt,MNA-20260921-INGENIA-WARBURG,PROP-INA-WARBURG-2026,mapped,
staging_chatgpt,MNA-20260922-IDP-BLACKSTONE,PROP-IEL-BX-2026,mapped,
staging_chatgpt,MNA-20260922-KONE-TKE,DEAL-TKE-KONE-2026,mapped,
staging_chatgpt,MNA-20260922-SCHRODERS-NUVEEN,DEAL-SDR-NUVEEN-2026,mapped,
staging_chatgpt,MNA-20260923-GXO-WINCANTON-CLOSECASE,,unlinked_regulator_only,GXO / Wincanton
