event_id,canonical_deal_id,event_type,valid_at,valid_at_precision,known_at,known_at_precision,known_at_basis,source_name,source_identifier,source_url,verification_level,filing_content_verified,corroborating_sources,staging_refs,known_at_review_required,note
EVT-636187E8D64A189B,DEAL-BWMN-BCP-2026,announcement,2026-08-10,day,2026-08-10T13:21:17Z,second,sec_acceptance,SEC EDGAR (metadata),0001193125-26-341431,https://www.sec.gov/Archives/edgar/data/1847590/000119312526341431/,sec_metadata_confirmed,no,,2026Q3-016,no,
EVT-2244505C28427E1B,DEAL-BWMN-BCP-2026,go_shop_started,2026-08-10,day,2026-09-14,day,source_stated,Bowman go-shop release,https://www.globenewswire.com/news-release/2026/09/14/3360984/0/en/bowman-consulting-group-announces-expiration-of-go-shop-period.html,https://www.globenewswire.com/news-release/2026/09/14/3360984/0/en/bowman-consulting-group-announces-expiration-of-go-shop-period.html,press_multi,no,,2026Q3-016,no,35-day go-shop ending 2026-09-13 17:00 ET => started at signing; known_at is the expiry release (conservative - the Aug-10 disclosure text was not read)
EVT-BFDB4F4329908EED,DEAL-BWMN-BCP-2026,go_shop_expired,2026-09-13,day,2026-09-14,day,source_stated,Bowman go-shop release,https://www.globenewswire.com/news-release/2026/09/14/3360984/0/en/bowman-consulting-group-announces-expiration-of-go-shop-period.html,https://www.globenewswire.com/news-release/2026/09/14/3360984/0/en/bowman-consulting-group-announces-expiration-of-go-shop-period.html,press_multi,no,bowman.com|2026Q3-049|press_multi,2026Q3-049,no,expired 17:00 ET 2026-09-13; no proposals received
EVT-13F0D4A9509DA4EA,DEAL-BZH-DFH-2026,announcement,2026-08-06,day,2026-08-07T10:10:15Z,second,sec_acceptance,SEC EDGAR (metadata),0001104659-26-092299,https://www.sec.gov/Archives/edgar/data/915840/000110465926092299/,sec_metadata_confirmed,no,,2026Q3-015,no,
EVT-45117BBB99128E37,DEAL-CARBONIUM-TOMZ-2026,announcement,2026-06-28,day,2026-06-28,day,event_date_assumed,globenewswire.com,2026Q3-043,https://www.globenewswire.com/news-release/2026/09/21/3365883/34752/en/tomi-environmental-solutions-announces-mutual-termination-of-merger-agreement-with-carbonium-core.html,press_multi,no,,2026Q3-043,yes,
EVT-15E61D0F65799083,DEAL-CARBONIUM-TOMZ-2026,termination,2026-09-20,day,2026-09-21,day,source_stated,GlobeNewswire (TOMI),https://www.globenewswire.com/news-release/2026/09/21/3365883/34752/en/tomi-environmental-solutions-announces-mutual-termination-of-merger-agreement-with-carbonium-core.html,https://www.globenewswire.com/news-release/2026/09/21/3365883/34752/en/tomi-environmental-solutions-announces-mutual-termination-of-merger-agreement-with-carbonium-core.html,press_multi,no,globenewswire.com|2026Q3-043|press_multi,2026Q3-043,no,board approved 2026-09-20; announced 2026-09-21
EVT-B8C3969AD6B464FB,DEAL-CONVERGENT-VCYT-2026,announcement,2026-09-10,day,2026-09-10,day,event_date_assumed,sec.gov,2026Q3-033,https://www.sec.gov/Archives/edgar/data/0001384101/000138410126000049/vcyt-20260910.htm,press_single,no,,2026Q3-033,yes,
EVT-B785E74F90430537,DEAL-CRNX-VRTX-2026,announcement,2026-07-06,day,2026-07-06T21:17:19Z,second,sec_acceptance,SEC EDGAR (metadata),0001140361-26-027642,https://www.sec.gov/Archives/edgar/data/1658247/000114036126027642/,sec_metadata_confirmed,no,,2026Q3-001,no,
EVT-EF4B6AF335CC2DCC,DEAL-CRNX-VRTX-2026,closing,2026-09-01,day,2026-09-01T13:26:31Z,second,sec_acceptance,SEC EDGAR (metadata),0001140361-26-035195,,sec_metadata_confirmed,no,,2026Q3-001,no,
EVT-23FA755CFE2896BD,DEAL-CSR-IRT-2026,announcement,2026-09-09,day,2026-09-09T10:49:06Z,second,sec_acceptance,SEC EDGAR (metadata),0001140361-26-035986,https://www.sec.gov/Archives/edgar/data/798359/000114036126035986/,sec_metadata_confirmed,no,,2026Q3-032,no,
EVT-15175BD15B4EF5D7,DEAL-DEPOP-EBAY-2026,announcement,2026-02,month,2026-02,month,event_date_assumed,investors.ebayinc.com,2026Q3-051,https://investors.ebayinc.com/investor-news/press-release-details/2026/eBay-Completes-Acquisition-of-Depop/default.aspx,press_multi,no,,2026Q3-051,yes,
EVT-E0EECA96C31CA40E,DEAL-DEPOP-EBAY-2026,regulatory_clearance,2026-07-15,day,2026-07-15,day,source_stated,UK Competition and Markets Authority,MNA-20260715-EBAY-DEPOP-CLEAR,https://www.gov.uk/cma-cases/ebay-slash-depop-merger-inquiry,press_multi,no,,MNA-20260715-EBAY-DEPOP-CLEAR,no,
EVT-0B7C6F7C501F4AED,DEAL-DEPOP-EBAY-2026,closing,2026-07-30,day,2026-07-30,day,source_stated,eBay Inc. Investor Relations,MNA-20260730-EBAY-DEPOP-CLOSE,https://investors.ebayinc.com/investor-news/press-release-details/2026/eBay-Completes-Acquisition-of-Depop/default.aspx,press_multi,no,investors.ebayinc.com|2026Q3-051|press_multi,2026Q3-051;MNA-20260730-EBAY-DEPOP-CLOSE,no,
EVT-3E01211D7A969EB6,DEAL-DHER-UBER-2026,announcement,2026-07-16,day,2026-07-16T10:35:59Z,second,sec_acceptance,SEC EDGAR (metadata),0001552781-26-000382,https://www.sec.gov/Archives/edgar/data/1543151/000155278126000382/,sec_metadata_confirmed,no,,2026Q3-023,no,
EVT-7E1C703CA79A9CC7,DEAL-DHER-UBER-2026,offer_document_published,2026-08-27,day,2026-08-27,day,source_stated,Uber investor relations,https://investor.uber.com/news-events/news/press-release-details/2026/Uber-Publishes-Offer-Document-for-its-Takeover-Offer-for-Delivery-Hero/default.aspx,https://investor.uber.com/news-events/news/press-release-details/2026/Uber-Publishes-Offer-Document-for-its-Takeover-Offer-for-Delivery-Hero/default.aspx,press_multi,no,,2026Q3-023,no,"acceptance period 2026-08-27 to 2026-11-05; a milestone, not the announcement"
EVT-52101B218927B271,DEAL-DIANOMI-TBLA-2026,announcement,2026-09-20,day,2026-09-20,day,event_date_assumed,research register,2026Q3-040,,press_single,no,,2026Q3-040,yes,
EVT-52CA821FD50983E5,DEAL-EA-PIFSLAFF-2025,announcement,2025-09-29,day,2025-09-29,day,event_date_assumed,ea.com,2026Q3-027,https://www.ea.com/news/ea-announces-completion-of-acquisition,press_single,no,,2026Q3-027,yes,
EVT-A97C07E24BB64BD8,DEAL-EA-PIFSLAFF-2025,closing,2026-08-04,day,2026-08-04T20:21:36Z,second,sec_acceptance,SEC EDGAR (metadata),0001140361-26-031157,,sec_metadata_confirmed,no,,2026Q3-027,no,
EVT-63032474029B05C0,DEAL-EFSI-JMSB-2026,announcement,2026-09-08,day,2026-09-08T12:45:26Z,second,sec_acceptance,SEC EDGAR (metadata),0001193125-26-384457,https://www.sec.gov/Archives/edgar/data/880641/000119312526384457/,sec_metadata_confirmed,no,,2026Q3-031,no,
EVT-6FBF95036C063BBD,DEAL-ESI-SOLS-2026,announcement,2026-07-06,day,2026-07-06T13:13:10Z,second,sec_acceptance,SEC EDGAR (metadata),0001104659-26-080825,https://www.sec.gov/Archives/edgar/data/1590714/000110465926080825/,sec_metadata_confirmed,no,,2026Q3-002,no,
EVT-463D8B2CBA97A878,DEAL-ESI-SOLS-2026,termination,2026-08-27,day,2026-08-27T21:20:35Z,second,sec_acceptance,SEC EDGAR (metadata),0001104659-26-102559,,sec_metadata_confirmed,no,,2026Q3-002,no,
EVT-8D8AF96BDEB461CF,DEAL-EZJ-APOLLO-2026,announcement,2026-08-06,day,2026-08-06,day,source_stated,Reuters,MNA-20260806-APOLLO-EASYJET,https://www.reuters.com/business/castlelake-walks-away-easyjet-pursuit-2026-08-06/,press_multi,no,cnbc.com|2026Q3-014|press_multi,2026Q3-014;MNA-20260806-APOLLO-EASYJET,no,
EVT-2DFA3829A4686817,DEAL-FIRSTEAGLE-VCTR-2026,announcement,2026-08-26,day,2026-08-26,day,event_date_assumed,ir.vcm.com,2026Q3-022,https://ir.vcm.com/news/news-details/2026/Victory-Capital-to-Acquire-First-Eagle-Investments-Creating-a-571-Billion-Diversified-Global-Asset-Manager/default.aspx,press_multi,no,,2026Q3-022,yes,
EVT-79D30F3F5114D294,DEAL-FMC-ADENA-2026,announcement,2026-09-01,day,2026-09-02,day,source_stated,Federal Trade Commission,MNA-20260901-ADENA-FMC,https://www.ftc.gov/news-events/news/press-releases/2026/09/statement-regarding-fairfield-medical-centers-sale-adena-health,press_multi,no,ftc.gov|2026Q3-055|press_multi,2026Q3-055;MNA-20260901-ADENA-FMC,no,
EVT-D5C21DEAB46EADBD,DEAL-FMC-ADENA-2026,closing,2026-09-01,day,2026-09-01,day,event_date_assumed,ftc.gov,2026Q3-055,https://www.ftc.gov/news-events/news/press-releases/2026/09/statement-regarding-fairfield-medical-centers-sale-adena-health,press_multi,no,,2026Q3-055,yes,
EVT-C9B5C54126E61CD1,DEAL-HHS-STRR-2026,announcement,2026-08-14,day,2026-08-14,day,event_date_assumed,globenewswire.com,2026Q3-020,https://www.globenewswire.com/news-release/2026/08/14/3345329/0/en/star-equity-holdings-enters-into-merger-agreement-to-acquire-harte-hanks.html,press_single,no,,2026Q3-020,yes,
EVT-6A047DE2DF4A961B,DEAL-HUGGINGFACE-NVDA-2026,announcement,2026-09-02,day,2026-09-03T12:03:56Z,second,sec_acceptance,SEC EDGAR (metadata),0001045810-26-000078,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000078/,sec_metadata_confirmed,no,,2026Q3-029,no,
EVT-D84E0041DB2F1379,DEAL-ITGR-KKR-2026,announcement,2026-08-03,day,2026-08-03T21:14:02Z,second,sec_acceptance,SEC EDGAR (metadata),0000950103-26-011881,https://www.sec.gov/Archives/edgar/data/1114483/000095010326011881/,sec_metadata_confirmed,no,,2026Q3-012,no,
EVT-BEB1D56D0FFE6F18,DEAL-ITM-TELIX-2026,announcement,2026-09-20,day,2026-09-20,day,event_date_assumed,bloomberg.com,2026Q3-041,https://www.bloomberg.com/news/articles/2026-09-20/telix-to-buy-isotope-maker-itm-in-deal-worth-up-to-2-35-billion,press_multi,no,,2026Q3-041,yes,
EVT-89DB4F81CC794B32,DEAL-ITRK-EQT-2026,announcement,2026-06-18,day,2026-06-18,day,event_date_assumed,intertek.com,2026Q3-048,https://www.intertek.com/siteassets/investors/offer/rule-2.7-announcement-dated-18-june-2026.pdf,press_multi,no,,2026Q3-048,yes,
EVT-DD99BC4C13F59788,DEAL-ITVME-SKY-2026,announcement,2026-07,month,2026-07,month,event_date_assumed,cityam.com,2026Q3-061,https://www.cityam.com/sky-and-itv-mount-defence-of-1-6bn-merger-as-regulators-probe-deal/,press_multi,no,,2026Q3-061,yes,
EVT-AE1092ED150A836E,DEAL-ITVME-SKY-2026,regulatory_invitation_to_comment,2026-07-23,day,2026-07-23,day,source_stated,UK Competition and Markets Authority,MNA-20260723-SKY-ITV,https://www.gov.uk/cma-cases/sky-slash-itv-merger-inquiry,press_multi,no,cityam.com|2026Q3-061|press_multi,2026Q3-061;MNA-20260723-SKY-ITV,no,
EVT-632014AB195CFBDA,DEAL-LINCOLN-EQBK-2026,announcement,2026-09-03,day,2026-09-03,day,event_date_assumed,equitybank.com,2026Q3-030,https://www.equitybank.com/articles/equity-bancshares-inc-and-lincoln-bancorp-announce-plans-to-merge/,press_multi,no,,2026Q3-030,yes,
EVT-E6042476777EC3F1,DEAL-LIQUIDNAILS-HENKEL-2025,announcement,2025,year,2025,year,event_date_assumed,cooley.com,2026Q3-019,https://www.cooley.com/news/insight/2026/2026-08-21-ftc-court-win-blocks-henkels-acquisition-of-liquid-nails,press_multi,no,,2026Q3-019,yes,
EVT-3C04D0725D7E5D28,DEAL-LIQUIDNAILS-HENKEL-2025,court_injunction,2026-08-14,day,2026-08-17,day,source_stated,Federal Trade Commission,MNA-20260814-HENKEL-LIQUIDNAILS,https://www.ftc.gov/legal-library/browse/cases-proceedings/henkel-paint,press_multi,no,cooley.com|2026Q3-019|press_multi,2026Q3-019;MNA-20260814-HENKEL-LIQUIDNAILS,no,
EVT-AC563F0B0584E839,DEAL-LNTH-CURIUM-2026,announcement,2026-08-03,day,2026-08-03T12:37:46Z,second,sec_acceptance,SEC EDGAR (metadata),0001193125-26-331138,https://www.sec.gov/Archives/edgar/data/1521036/000119312526331138/,sec_metadata_confirmed,no,,2026Q3-011,no,
EVT-AFFA07D4C92FF225,DEAL-LXFR-WYNNCHURCH-2026,announcement,2026-07-27,day,2026-07-27T12:31:57Z,second,sec_acceptance,SEC EDGAR (metadata),0002077096-26-000223,https://www.sec.gov/Archives/edgar/data/1096056/000207709626000223/,sec_metadata_confirmed,no,,2026Q3-006,no,
EVT-D551ADFF3F9E0E6A,DEAL-MG-HIG-2026,announcement,2026-09-18,day,2026-09-18T20:05:33Z,second,sec_acceptance,SEC EDGAR (metadata),0001140361-26-037107,https://www.sec.gov/Archives/edgar/data/1436126/000114036126037107/,sec_metadata_confirmed,no,,2026Q3-037,no,
EVT-49E4B4BFF98CA386,DEAL-MKTX-ICE-2026,announcement,2026-07-30,day,2026-07-30T11:44:54Z,second,sec_acceptance,SEC EDGAR (metadata),0001193125-26-324933,https://www.sec.gov/Archives/edgar/data/1278021/000119312526324933/,sec_metadata_confirmed,no,,2026Q3-007,no,
EVT-BF0851A7AA2D1CB8,DEAL-MOMENTUM-WMB-2026,announcement,2026-08-03,day,2026-08-03,day,source_stated,Reuters,MNA-20260803-WILLIAMS-MOMENTUM,https://www.reuters.com/legal/transactional/williams-buy-momentum-midstream-55-billion-2026-08-03/,press_multi,no,williams.com|2026Q3-052|press_multi,2026Q3-052;MNA-20260803-WILLIAMS-MOMENTUM,no,
EVT-0884A9DA74CBD422,DEAL-MOMENTUM-WMB-2026,closing,2026-09-03,day,2026-09-03,day,event_date_assumed,williams.com,2026Q3-052,https://www.williams.com/2026/08/03/williams-delivers-strong-second-quarter-2026-results-announces-strategic-acquisition-of-momentum-midstream-connecting-haynesville-to-gulf-coast-lng-and-power-demand/,press_multi,no,,2026Q3-052,yes,
EVT-D7D81B72265663AE,DEAL-NATL-BCO-2026,announcement,2026-02-26,day,2026-02-26,day,event_date_assumed,investors.brinks.com,2026Q3-057,https://investors.brinks.com/news-releases/news-release-details/brinks-acquire-ncr-atleos-66-billion-creating-leading-financial,press_multi,no,,2026Q3-057,yes,
EVT-ECCDDABEF860D747,DEAL-NATL-BCO-2026,regulatory_phase1_launched,2026-08-26,day,2026-08-26,day,source_stated,UK Competition and Markets Authority,MNA-20260826-BRINKS-NCR,https://www.gov.uk/cma-cases/the-brinks-company-slash-ncr-atleos-corporation-merger-inquiry,press_multi,no,investors.brinks.com|2026Q3-057|press_multi,2026Q3-057;MNA-20260826-BRINKS-NCR,no,
EVT-BDB8B1321CEC6B97,DEAL-OVO-EON-2026,announcement,2026-05-11,day,2026-05-11,day,event_date_assumed,eon.com,2026Q3-060,https://www.eon.com/en/about-us/media/press-release/2026/eon-announces-acquisition-of-uk-energy-supplier-ovo.html,press_multi,no,,2026Q3-060,yes,
EVT-FF4F8112CC11F867,DEAL-OVO-EON-2026,regulatory_invitation_to_comment,2026-07-08,day,2026-07-08,day,source_stated,UK Competition and Markets Authority,MNA-20260708-EON-OVO-ITC,https://www.gov.uk/cma-cases/eon-slash-ovo-merger-inquiry,press_multi,no,,MNA-20260708-EON-OVO-ITC,no,
EVT-43D1B16D3199CB41,DEAL-OVO-EON-2026,regulatory_phase1_launched,2026-09-02,day,2026-09-02,day,source_stated,UK Competition and Markets Authority,MNA-20260902-EON-OVO-LAUNCH,https://www.gov.uk/cma-cases/eon-slash-ovo-merger-inquiry,press_multi,no,eon.com|2026Q3-060|press_multi,2026Q3-060;MNA-20260902-EON-OVO-LAUNCH,no,
EVT-9391D03EA91033F2,DEAL-PRTH-PRIOREGRP-2026,announcement,2026-09-21,day,2026-09-21T11:40:34Z,second,sec_acceptance,SEC EDGAR (metadata),0001213900-26-101651,https://www.sec.gov/Archives/edgar/data/1653558/000121390026101651/,sec_metadata_confirmed,no,Priority Technology Holdings Investor Relations|MNA-20260921-PRIORITY-TAKEPRIVATE|press_multi,2026Q3-042;MNA-20260921-PRIORITY-TAKEPRIVATE,no,
EVT-760CFA28BC609D0C,DEAL-RGR-BERETTA-2026,regulatory_consent_order_proposed,2026-09-16,day,2026-09-16,day,source_stated,Federal Trade Commission,MNA-20260916-BERETTA-RUGER,https://www.ftc.gov/legal-library/browse/cases-proceedings/berettaruger,press_multi,no,ftc.gov|2026Q3-064|press_single,2026Q3-064;MNA-20260916-BERETTA-RUGER,no,
EVT-0465AE949A1DDA80,DEAL-SDR-NUVEEN-2026,announcement,2026-02-12,day,2026-02-12,day,event_date_assumed,scottishfinancialnews.com,2026Q3-056,https://www.scottishfinancialnews.com/articles/nuveen-completes-ps99bn-schroders-takeover-on-october-1,press_multi,no,,2026Q3-056,yes,
EVT-70FD0AD937036C2A,DEAL-SDR-NUVEEN-2026,regulatory_approvals_received,2026-09-22,day,2026-09-22,day,source_stated,Reuters,MNA-20260922-SCHRODERS-NUVEEN,https://www.reuters.com/legal/transactional/schroders-names-westerman-chair-ahead-nuveen-deal-close-2026-09-22/,press_multi,no,scottishfinancialnews.com|2026Q3-056|press_multi,2026Q3-056;MNA-20260922-SCHRODERS-NUVEEN,no,
EVT-FE4F02EC003D0306,DEAL-SEALINK-JOURNEYB-2026,announcement,2026-09-19,day,2026-09-19,day,event_date_assumed,research register,2026Q3-039,,press_single,no,,2026Q3-039,yes,
EVT-4659A158FEBE7C8C,DEAL-SGRO-PLD-2026,announcement,2026-08-04,day,2026-08-04,day,event_date_assumed,prologis.com,2026Q3-013,https://www.prologis.com/insights-news/press-releases/prologis-announces-recommended-acquisition-segro-plc,press_multi,no,,2026Q3-013,yes,
EVT-2A0BA2F274189F9D,DEAL-SKYT-IONQ-2026,closing,2026-07-31,day,2026-07-31T13:00:16Z,second,sec_acceptance,SEC EDGAR (metadata),0001193125-26-327137,,sec_metadata_confirmed,no,,2026Q3-008,no,
EVT-94893592B2C88D26,DEAL-SKYT-IONQ-2026,regulatory_early_termination,2026-07-31,day,2026-07-31,day,source_stated,Federal Trade Commission,MNA-20260731-IONQ-SKYWATER,https://www.ftc.gov/legal-library/browse/cases-proceedings/public-statements/statement-chairman-andrew-n-ferguson-matter-ionq-inc-skywater-technology-inc,press_multi,no,,MNA-20260731-IONQ-SKYWATER,no,
EVT-1CDD6F9FEE580312,DEAL-SSTK-GETY-2025,announcement,2025-01,month,2025-01,month,event_date_assumed,gov.uk,2026Q3-050,https://www.gov.uk/cma-cases/getty-images-slash-shutterstock-merger-inquiry,press_multi,no,,2026Q3-050,yes,
EVT-2002D16F6D80A7A2,DEAL-SSTK-GETY-2025,termination,2026-07-07,day,2026-07-09T10:03:55Z,second,sec_acceptance,SEC EDGAR (metadata),0001140361-26-028035,,sec_metadata_confirmed,no,,2026Q3-050,no,
EVT-892AF9C3A57743C5,DEAL-SSTK-GETY-2025,regulatory_abandonment_notice,2026-07-08,day,2026-07-08,day,source_stated,UK Competition and Markets Authority,MNA-20260708-GETTY-SSTK,https://www.gov.uk/cma-cases/getty-images-slash-shutterstock-merger-inquiry,press_multi,no,,MNA-20260708-GETTY-SSTK,no,
EVT-D5D766EDD797ABDC,DEAL-TALLGRASS-ENB-2026,announcement,2026-09,month,2026-09,month,event_date_assumed,okenergytoday.com,2026Q3-036,https://okenergytoday.com/2026/09/tallgrass-energy-sold-in-2-5-billion-deal-to-enbridge/,press_single,no,,2026Q3-036,yes,
EVT-E6D40E98DA474D59,DEAL-TBPH-ZYME-2026,announcement,2026-06-29,day,2026-06-29T10:30:58Z,second,sec_acceptance,SEC EDGAR (metadata),0001104659-26-078453,https://www.sec.gov/Archives/edgar/data/1583107/000110465926078453/,sec_metadata_confirmed,no,,2026Q3-046,no,
EVT-A1AD85F1D587B28F,DEAL-TBPH-ZYME-2026,closing,2026-09-23,day,2026-09-23T20:17:30Z,second,sec_acceptance,SEC EDGAR (metadata),0001104659-26-109979,,sec_metadata_confirmed,no,,2026Q3-046,no,
EVT-F8302E99A8BAEE7E,DEAL-TECH-MERCKKGAA-2026,announcement,2026-06-25,day,2026-06-25T12:21:30Z,second,sec_acceptance,SEC EDGAR (metadata),0001999371-26-013527,https://www.sec.gov/Archives/edgar/data/842023/000199937126013527/,sec_metadata_confirmed,no,,2026Q3-045,no,
EVT-2C1087499668502B,DEAL-TECH-MERCKKGAA-2026,shareholder_vote,2026-09-23,day,2026-09-23,day,event_date_assumed,investors.bio-techne.com,2026Q3-045,https://investors.bio-techne.com/news/detail/535/merck-kgaa-darmstadt-germany-agrees-to-acquire-bio-techne-strengthening-leadership-position-in-fast-growing-life-sciences-markets,press_single,no,,2026Q3-045,yes,
EVT-2CB74AAD8C188D16,DEAL-TKE-KONE-2026,announcement,2026-04-29,day,2026-04-29,day,event_date_assumed,kone.com,2026Q3-059,https://www.kone.com/global/en/newsroom/releases/2026/inside-information--kone-and-tke-to-combine--creating-a-world-class-company-in-the-elevator-and-escalator-industry-2026-04-29.html,press_multi,no,,2026Q3-059,yes,
EVT-AF9A64A27F46133D,DEAL-TKE-KONE-2026,regulatory_invitation_to_comment,2026-09-22,day,2026-09-22,day,source_stated,UK Competition and Markets Authority,MNA-20260922-KONE-TKE,https://www.gov.uk/cma-cases/kone-slash-tk-elevator-merger-inquiry,press_multi,no,kone.com|2026Q3-059|press_multi,2026Q3-059;MNA-20260922-KONE-TKE,no,
EVT-3D23E05C5B38D958,DEAL-ULTRAMAR-LMT-2026,announcement,2026-07-06,day,2026-07-06,day,event_date_assumed,news.lockheedmartin.com,2026Q3-003,https://news.lockheedmartin.com/2026-07-06-Lockheed-Martin-to-Acquire-Ultra-Maritime-Solutions,press_multi,no,,2026Q3-003,yes,
EVT-15BC4BD7BA63F420,DEAL-ULVRFOODS-MKC-2026,announcement,2026-03-31,day,2026-03-31,day,event_date_assumed,unilever.com,2026Q3-058,https://www.unilever.com/news/press-and-media/press-releases/2026/unilever-announces-the-combination-of-unilever-foods-with-mccormick/,press_multi,no,,2026Q3-058,yes,
EVT-613F4A1274D66BAF,DEAL-ULVRFOODS-MKC-2026,regulatory_invitation_to_comment,2026-07-21,day,2026-07-21,day,source_stated,UK Competition and Markets Authority,MNA-20260721-MCCORMICK-UNILEVER-ITC,https://www.gov.uk/cma-cases/mccormick-slash-unilever-merger-inquiry,press_multi,no,,MNA-20260721-MCCORMICK-UNILEVER-ITC,no,
EVT-228FF8C348C0639D,DEAL-ULVRFOODS-MKC-2026,regulatory_phase1_launched,2026-09-16,day,2026-09-16,day,source_stated,UK Competition and Markets Authority,MNA-20260916-MCCORMICK-UNILEVER-LAUNCH,https://www.gov.uk/cma-cases/mccormick-slash-unilever-merger-inquiry,press_multi,no,unilever.com|2026Q3-058|press_multi,2026Q3-058;MNA-20260916-MCCORMICK-UNILEVER-LAUNCH,no,
EVT-74821C8E37DBA5D1,DEAL-USI-AON-2026,announcement,2026-08-31,day,2026-08-31,day,event_date_assumed,insurancejournal.com,2026Q3-024,https://www.insurancejournal.com/news/national/2026/08/31/883334.htm,press_multi,no,,2026Q3-024,yes,
EVT-C5DA26713902DF74,DEAL-WBD-PSKY-2026,announcement,2026-02-27,day,2026-02-27T22:06:16Z,second,sec_acceptance,SEC EDGAR (metadata),0001437107-26-000018,https://www.sec.gov/Archives/edgar/data/1437107/000143710726000018/,sec_metadata_confirmed,no,,2026Q3-047,no,
EVT-FB593201CF59EA90,DEAL-WBD-PSKY-2026,regulatory_clearance,2026-08-06,day,2026-08-06,day,source_stated,UK Competition and Markets Authority,MNA-20260806-PARAMOUNT-WBD-CLEAR,https://www.gov.uk/cma-cases/paramount-slash-warner-bros-discovery-merger-inquiry,unverified_staging,no,,MNA-20260806-PARAMOUNT-WBD-CLEAR,no,
EVT-67B8116DC18AFDC7,DEAL-WBD-PSKY-2026,regulatory_case_closed,2026-08-17,day,2026-08-17,day,source_stated,UK Competition and Markets Authority,MNA-20260817-PARAMOUNT-WBD-CMA-CLOSE,https://www.gov.uk/cma-cases/paramount-slash-warner-bros-discovery-merger-inquiry,unverified_staging,no,,MNA-20260817-PARAMOUNT-WBD-CMA-CLOSE,no,
